Date,Equity,Bond,Commodity,Portfolio
8/29/2014,0.020027964,0.011,-0.0331,0.012006778
9/30/2014,-0.028752985,-0.0068,-0.0383,-0.023121791
10/31/2014,0.00570181,0.0098,-0.065,-0.000138914
11/28/2014,0.018386012,0.0071,-0.058,0.007361607
12/31/2014,-0.017145761,0.0009,-0.1187,-0.021887457
1/30/2015,-0.018796003,0.021,-0.1229,-0.017267602
2/27/2015,0.05682438,-0.0094,0.0552,0.036794628
3/31/2015,-0.018076985,0.0046,-0.0318,-0.012646191
4/30/2015,0.021591049,-0.0036,0.0196,0.013834629
5/29/2015,0.000510009,-0.0024,0.0445,0.004036005
6/30/2015,-0.024556752,-0.0109,-0.0164,-0.019644051
7/31/2015,0.017279774,0.007,-0.0651,0.005957864
8/31/2015,-0.06806396,-0.0014,-0.0917,-0.050428376
9/30/2015,-0.038596598,0.0068,-0.0067,-0.021787959
10/30/2015,0.078310435,0.0002,-0.0007,0.046976261
11/30/2015,-0.006686587,-0.0026,-0.0585,-0.010641952
12/31/2015,-0.018651473,-0.0032,-0.0681,-0.018960884
1/29/2016,-0.060510202,0.0138,-0.0839,-0.040556121
2/29/2016,-0.009604539,0.0071,0.0091,-0.002722724
3/31/2016,0.065244116,0.0092,0.1,0.05190647
4/29/2016,0.013759937,0.0038,0.0439,0.013785962
5/31/2016,0.00228454,0.0003,0.06,0.007460724
6/30/2016,-0.012769517,0.018,0.0322,0.00095829
7/29/2016,0.041469754,0.0063,-0.0256,0.024211852
8/31/2016,-0.001314912,-0.0011,-0.0006,-0.001178947
9/30/2016,0.003571337,-0.0006,-0.0026,0.001702802
10/31/2016,-0.020133108,-0.0076,0.0555,-0.008809865
11/30/2016,0.012518023,-0.0237,-0.0148,-0.001079186
12/30/2016,0.02285512,0.0014,0.0731,0.021443072
1/31/2017,0.023517333,0.002,0.0332,0.0180304
2/28/2017,0.025829013,0.0067,0.0038,0.017887408
3/31/2017,0.008153047,-0.0005,-0.0448,0.000261828
4/28/2017,0.013263275,0.0077,-0.0007,0.010197965
5/31/2017,0.017816338,0.0077,-0.0233,0.010669803
6/30/2017,0.00245117,-0.001,-0.0339,-0.002219298
